Review,Point
"Mình với bạn gọi 1 phần cháo ếch singapore, 1 bò bít tết sốt tiêu, món nào cũng ngon, no căng bụng, quán sạch sẽ, bày trí dễ thương hơn lúc trước ở bên 03 Đặng Thai Mai. Sẽ ghé thường xuyên",10
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;!!!!!!!!!!!!!!!!!!!;;;;;;;;;;;;;;;;;;;;!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;!!!;;!;;;;;;;;;!!!!!!!!!!;;;;;;;;;;;;;;;!!!!!!!!!!!!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;::--;:::;;;;;;;;;;;;,10
",,,,,,,,,,,,,,,,,,,,",7.0
"Quán lúc trước nằm bên 03 Đặng Thai Mai, giờ chuyển qua địa chỉ mới 257 NGUYỄN HOÀNG, không gian thoáng mát, sạch đẹp, ngoài đặc sản Cháo ếch Singapore còn bổ sung thêm nhiều món mới hấp dẫn, đầy đủ các loại cơm ngon như cơm nhà, cháo ếch singapore thì khỏi bàn rồi, à còn có bò bittet, bò kho ngon tuyệt",9.8
"Có đặt ở đây nhiều món, nhiều lần.
Cơm chiên dương châu, đặt 2 lần. 1lần ăn được nhưng chiên bằng gì hơi khó ăn. Lần 2 đặt buổi tối, cơm như để tủ lạnh, chiên nhưnh vẫn vón cục k ăn được
Cơm bò xào, tạm ổn
Cơm đà điểu, thịt rất dai 
Cơm thịt kho ruốc, cơm này mình thường đặt buổi tối, thịt càng ngày càng ít, sả là phần lớn. Lần cuối mình đặt thì thit đc tầm 5-7 miếng cắt nhỏ, chủ yếu là da không với ít mỡ. Tệ nhất là bầu luộc bị thiu, có ăn thử thêm nhưng đều bị thiu cả, mình có chụp hình (xin lỗi vì hình hơi mất mỹ quan nhưng thực sự là vậy). Mấy lần trước mình k lên review, nhưng lần này quá tệ nên lên review",1.8
"Bọn mình vào gọi cơm chiên thì phải chờ lâu, cơm chiên mà chả mang nước lèo ra ăn khô hết cổ.",1.0
"Ăn cơm bụi đủ 4-5 món miết cũng chán, tình cờ phát hiện Shinshu có cơm ruốc ngon như mẹ nấu lun á. Cơm hạt dẻo mềm, mua ship nhưng lúc nào tới cũng nóng hổi kèm 1 cái trứng chiên, rau chần và hộp thịt ruốc. Thịt ba chỉ ngon xen chút mỡ và da, kho rim với nước ruốc mặn mà, cay cay. 
Phần cơm cả canh có 20k, tính ra được đến 4 món ăn kèm. Canh cải nấu với tép khá ngon, vị vừa mà ăn chất lượng như canh nhà nấu chớ hông phải canh đại dương đâu. Nói chung là dân văn phòng chắc chắn ghiền lun. Cho 10 điểm.",8.0
"Mình order Cháo ếch Singapore lớn nhưng thấy ếch cũng ko lớn lắm nhưng ngon.
Cháo vị tỏi bình thường, lần sau ghé mình sẽ thử loại cháo khác",7.8
Càng ngày càng dở tệ. Cơm thố bò dấy .lúc trước ăn ngon lắm gần đay đặt về bò thì chua giống kiểu đồ ăn thừa cò để lại z. Ăn đc 1 ..2 miếng vứ luôn cái hộp bò.. né quán này mãi mãi,4.2
"Mình hay ăn ở quán nhưng nhân viên lúc nào mặt cũng cau có, mình không ăn được cay nên gọi phần không cay, nhưng nhân viên chẳng ơi hỡi gì sau đó các bạn bưng ra khay siêu cay. Gọi nhân viên đến giải quyết thì các bạn đều né? Mình ăn cháo ếch chứ đâu ăn bò ""né""? Gọi bánh mì nhân viên lại tiếp tục không ơi hỡi gì cả, quay lại thấy các bạn đang bấm điện thoại thì mới gọi lần 2 và được đáp ""Đang hâm"". Một chữ ""Dạ"" không tốn bao nhiêu calo nhưng nhân viên ở đây đều không phát âm được, bê thức ăn ra lúc nào cũng như dằn vào mặt khách.

Như đã nói, mình hay ăn ở đây vì đồ ăn hợp khẩu vị, chủ nhiệt tình, còn nhân viên thôi chán không buồn nói.",3.8
"Tụi mình gọi hai phần ếch khổng lồ, một cháo hành (phi) và một cháo lá dứa. Ấn tượng đầu tiên khi đồ được bưng ra đó là tô cháo hành ít hơn hẳn phân nửa so với tô cháo dứa 😂, ếch cũng là khổng lồ mini thôi chớ chưa phải khổng lồ 😂😂😂, ăn không giống hương vị cháo ếch sing lắm, khi nghiên cứu gọi món tụi mình nhờ phục vụ nữ tư vấn thì bạn nói theo kiểu "" đố hai đứa biết mình đang nói gì"" 😂😂😂",6.6
"Lúc trước mình rất thích cơm chiên dương châu ở đây. Ăn tại quán và ship về rất nhiều lần đều hài lòng...
Cơm giòn, có thêm bắp non ăn ngọt và ngon. Kèm với trứng ốp la.. 
nhưng lần này được giao thì cơm k ngon, đồ ăn đi kèm quá nhiều tiêu nên cay nồng.
Không hiểu lí do gì mà lại đổi cách chế biến như vậy.
Sẽ không quay lại nếu muốn ăn cơm tại quán. Còn cháo ếch thì vẫn rất ngon.",4.2
"Hôm nay mới ghé quán ăn cơm, thường chỉ hay ăn cháo ếch thôi. Mình gọi phần cơm thịt ruốc ăn kèm bầu luộc, rau và trứng chiến. Phần cơm khá nhiều cơm, thịt ruốc nhiều, và thơm nên rất bắt cơm. Bầu luộc vừa không bị chín quá, kèm canh ăn là no lắm luôn.
Quán đông nên phục vụ cũng hơi chậm xíu.",8.0
"Hôm shinsu bên này chạy code 50% cho đơn từ 50k nên mình có đặt 1 phần cơm thố bò thêm cơm trắng + 7k nữa.
Phần cơm như hình, đóng gói gon gàng. Giao đến còn nóng. Cơm chiên với rau củ giòn gìon, nêm nếm vừa miệng nhưng hơi ít. Cơm trắng, dẻo hạt.
Cơ mà có một vấn đề là bò ít quá. Huhu. Có xíu xiu ăn tí là hết sạch rồi :v 
Thật sự là có code vào ăn thế này thì được chứ ko code gía chát quá là chát.",7.4
Thường xuyên ghé bên này luôn. Cơm gà ngon nè. Mọi khi hay ăn cơm chiên dương châu hoặc cơm thịt kho ruốc. Giá khá ổn từ 20 đến 50. Không gian sạch sẽ nhân viên dễ thương.,8.2
"Quán có code trên Now nên mình đặt về văn phòng ăn trưa
Có gọi cơm thêm 7k nữa
Nhận về phần nhiều ghê nên chia cho chị nữa cùng ăn
Cơm có thêm cà rốt bào, cơm dẻo ngon
Thịt bò xào, khá nhiều
Ăn cũng được, cơ mà hơi nhạt, quán lại không bỏ thêm xì dầu hay nước mắm chi cả!
Ship đến còn nóng hổi!",7.6
"Cháo thịt bò bằm khá ngon, nhưng đối với khẩu vị của mình thì hơi mặn",7.0
"Cháo ếch ngon cực. Tìm đến quán mà không ai giới thiệu chỉ sợ không vừa ý. Ai ngờ ngon cực thành nghiện luôn. Hôm sau phải gọi ship sang chỗ làm ăn. ếch vẫn ngon nhưng phần ếch nhỏ hơn lúc ăn ở tiệm. Sẽ ủng hộ quán dài dài. 
Không gian đơn giản, sạch sẽ. Chú bê đồ ăn ra không biết có phải chủ không. Rất từ tốn nhẹ nhàng. Chỉ khay để muỗng đũa. Nhẹ nhàng chúc khách ăn ngon miệng. Rất tinh tế mà không phô trương. Rất hài lòng với đồ ăn và cách phục vụ của chú. 
Điểm trừ lớn nhất là mới vào nhân viên nữ ngồi chẳng muốn ra tiếp khách. Gọi lại hỏi bây giờ quán đã có cháo chưa chị thì trả lời hời hợt. Không thiện cảm phút mới vào quán.",9.0
"Bữa có code now giảm giá nên mình order 1 pần cháo ếch và pần bắp mỹ xào bơ.do lần trước ăn tại quán thì thấy món này khá ngon nên giờ order về ăn.
Phần cháo ếch thì ổn, mỗi tội sốt lá dứa cho quá keo kiệt.
Còn bắp xào thì bị chua thiu mà quán ko chú ý.Mà món này rất đắt 30k/dĩa lun nên mình call qua quán yêu cầu kiểm tra lại thì đúng là bắp của quán đã bị hư và chua.Thế là quán nhanh chóng giao cho mình 1 pần bắp mới ngon lành.
Đánh giá cao tinh thần nhiệt tình của quán.",7.0
"Trước mình hay order cháo ếch bên này, nay thử order cơm trưa xem sao. Mình chọn một phần cơm chiên và một cơm bò. Cơm chiên khá ngon, vừa ăn mà lại không quá khô, cơm bò hạt cơm dẻo, phần bò xào cũng khá hợp vị",7.6
"Mình hay ăn quán này, lúc nào cũng thấy ngon vừa miệng, ăn ko ngán, giống cơm nhà lắm mng ạ! 
Hôm nay mình oder cơm ếch thấy cũng hợp túi tiền, vị ngon cay cay chuẩn, còn cơm thịt ruốc thì miễn bàn vì quá ngon 😘",9.2
"Mình vừa order một phần cháo 3 ếch , nhưng sau khi mở hộp thì thấy rất ít ếch, cảm giác còn chưa được hai con ếch !!!. Thực tế là ăn không đủ cho hai phần cháo 😭 ( hai người ăn , 3 ếch, và hai cháo thì thừa cháo thiếu ếch). Mùi vị thì theo mình khá mặn và không hề giống vị cháo ếch Sing mà mình biết. Cháo thì quá nhuyễn như cháo bột cho con nít ăn và cháo hành là hành phi, theo mình khá ngấy và không ngon miệng. Điểm cộng duy nhất là chai nước nha đam khá thơm ngon 🙄. Sẽ không quay lại !!!",3.4
"Mình đặt 2 phần cơm, ăn nhiều lần rồi, cảm giác cơm nào cũng ngon. Vị giống cơm nhà, ăn đỡ ngán hơn so với cơm hộp bên ngoài ☺️ sẽ ăn dài dài ạ!",9.0
"Sáng nay ghé ăn sáng, thấy quán cũng tạm được. Phục vụ bình thường không niềm nở cũng không có gì bất lịch sự, chắc do mới sáng chưa tỉnh ngủ 😂 . Phần như hình là 35k kèm 1 bánh mì. Vị hơi nhạt không đậm đà (phải cho thêm nước tương) và chua do sốt cà chua nhiều quá, lấn át hết mùi bò và pate. Bò không thấm và hơi dai, pate ăn bình thường, có thêm mấy hột bắp mỹ thấy cũng lạ miệng so với chỗ khác. 
Thấy review cháo ếch nhiều hơn, có khi món bò né này không phải thế mạnh của quán, lần sau sẽ thử cháo ếch xem sao.",6.4
"Quán này gần cty mình. Buổi trưa hay xuống ăn cơm chứ ít khi ăn cháo ếch. Cơm bên này khá dễ ăn vì giá rẻ, 20k/ phần mà sạch sẽ. Khách văn phòng nhìu lắm lun. Nhân viên nhiệt tình.",7.6
"Trưa lười đi ăn nên order phần này về cty ăn cho nhanh. Bình thường ăn ở quán mình thấy ngon lắm mà sao đặt ship về thấy ko ngon bằng. Ếch ko thấm vị, nước sốt cũng ko đậm đà. Món này chắc ăn tại quán ngon hơn là mang đi.",7.2
"Mình ăn ở quán nhiều lần thấy rất ngon. Hôm nay trời mưa ship qua Now 1 phần cháo 2 phần ếch lớn + nước nha đam thì thật sự thất vọng. Cháo lỏng, ko có mùi dứa như mình đặt. Thịt đùi ếch thì dai nhách, 2 vợ chồng nhai hoài ko nỗi nên toàn bỏ lại. :(, nước sốt cũng lỏng lẻo, ko đặc sánh thơm như từng ăn ở quán. Đặc biệt hơn là quán ship thiếu nước nha đam nữa chứ!. Haiz tiếc quá",3.6
"Tại gần công ty nên hay ghé ăn. Cơm ở đây khá ngon. Tuy nhiên quán phục vụ rất chậm, tầm 20 - 30 phút mới có đồ ăn ra bàn. Quán cần cải thiện thêm.",7.0
"Mình đặt 2 phần bò né đặc biệt nhưng một phần có bánh mì một phần không có. Bò né trong hình minh họa có xúc xích nữa nhưng phần mình đặt chỉ có trứng và thịt bò. Cơ mà bù lại hương vị khá ngon
Nước nha đam thanh thanh, ngon lắm nha",7.4
"Mình và bạn gọi cơm chiên gà giòn và cơm bò xào ở đây. Nói chung với giá 40k thì hơi đắt một chút so với chất lượng. 
Bò xào chắc được 4,5 miếng thịt bò thôi, mà mỏng lét à :v 
Cơm gà thì miếng gà cũng bé thôi, toàn xương. 
Ăn thử cho biết chứ có lẽ sẽ ko đặt lại nữa.",7.2
"Mình hay order bên này vì cũng thích món cháo ếch Singapore, hương vị khá ngon. Bên này cũng hay có chương trình giảm giá qua Deli, lại gần cty nên order nhanh lẹ. Tuy nhiên dạo này có vẻ không hài lòng lắm, không biết có phải do giảm giá 50% hay không mà một suất cháo ếch ở đây càng ít dần, suất 1 con ếch khổng lồ mà có chút éc, thua xa lúc ăn trực tiếp ở quán. Không vui rồi nha",7.4
Có mã deli giảm 50% nên ord 1 phần cháo + 2 con ếch. Ăn cho ngán luôn. Có ghi chú là nhiều hành lá mà hình như bên deli quên dặn. Gọi là cháo ếch Sing thì ko đúng cho lắm. Vì cháo ếch Sing mình đc ăn trong SG thì ko giống. Hương vị tuy lâu nhưng mình nhớ khá rõ. Phần cháo trắng hương tỏi nên khá thơm,8.0
"Quán bán đồ ăn khá chất lượng và giá cũng phải chăng
Mọi lần hay gọi cháo ếch nhưng hôm nay đổi sang cơm, mấy lần quán có code deli 50% nên giá cả thiệt là quá rẻ lun á
Mình gọi cơm cào bò, đồ ăn thấm vị, bò dai, cà rót mềm
Cơm cho nhiều quá xá, ăn k hết",8.0
"Vì là fans của ếch nên mình ghiền cháo ếch đồ các kiểu lắm. Từ ngày phát hiện quán này có tuần mình ăn cả 7 ngày cháo ếch :((((
Quán này cháo ếch làm thấm lắm, có điều cháo k được ngon cho lắm, nếu được có thể nấu cháo đặc hơn sí đc k ạ :((( chứ như mình dân VP vừa làm vừa ăn thì để chập cháo nó ra nước ngán lắm cơ.
Nói đi nói lại, cháo ếch bên này cũng khá ngon đó ạ.",8.0
"Hôm bữa có đặt qua delivery now một phần cháo ếch, hai phần cơm với ếch chiên giòn, với một phần xúc xích, mọi thứ đều được chỉ đáng tiếc là cơm với ếch chiên giòn chẳng có sốt gì ăn kèm cả nên cảm thấy hơi nhạt, bữa đó có giảm 50% nên rất rẻ ý.",7.0
Ngon lắm ạ:)) sẽ ủng hộ quán dài dài ^^,6.8
"Đồ ăn của Quán thì ngon mà mình đặt hàng bao giờ cũng giao thiếu xót??? 
Hôm nay đặt phần né đặc biệt thêm xúc xích cuối cùng k thêm, hôm trước cũng vậy. Khá là k hài lòng khoảng này!",4.2
"Cháo ở đây hơi ít, cháo ít ếch cũng ít. Nhưng ếch được kho đậm đà mỗi tội thịt ếch quá ít, chỉ toàn nước thôi, mình chưa ăn tại quán như thế nào nhưng khi oder về thì hơi thất vọng. Ếch duy nhất mình thấy quá này là oke nhất, lần sau bỏ nhiều thịt ếch chút là được :))",7.0
"Đến quán vào buổi trưa, lúc đó cũng không quá đông khách. Nhưng có món thì hơi lâu, chắc có thể vì lúc gọi món quán mới chế biến.
Gọi 2 ếch 1 cháo, nhưng đem ra 2 phần chào, chắc tại thấy 2 người. Ếch thì thấm ngon, cay. Cháo cách nấu sao ăn mau ngán lắm. 2 người đang đói mà ăn không hết đc 1 tô.
Nhưng vẫn chấm điểm tốt cho quán vì ếch ngon.",5.0
"Mình đã đến quán ăn 1 lần và ship về một lần . Theo mình thấy mì cay thì hoàn toàn k cay. Hôm mình đến ăn cấp độ 5 mà thật sự còn thua cả cấp độ 2 của mì hothot mùi vị bị hăng quá mức vì bỏ quá nhiều gia vị. Hôm mình đến mua về còn phải chờ lâu hơn cả hôm ship trên foody. Lúc ship về thì như ảnh đấy nem chua thì bị cháy đen còn hơi có vị đắng đắng nữa, cháo nhạt bỏ cả hộp ếch vào vẫn thấy nhạt, mình có mua thêm 1 phần cháo thêm nhưng không ăn được bởi nhạt, cháo rất đặc, ít béo và nấu bằng bột thì phải.",1.0
"Quán này nằm gần công ty mình, mấy hồi hay đặt qua deli lắm. Nay kiểu rảnh rỗi ghé sang ăn. Không gian quán bt, đồ ăn ngon nhưng phục vụ và chế biến món tỉ lâu luôn. Đợi 20p hơn mới có đồ ăn. Giá cũng hợp lý nữa",7.8
Cháo ngon nhưng giá hơi cao. Cơm ở đây giá bình dân nhá,7.4
"Quán này gần công ty mình. Trưa gọi cơm về ăn, đag giảm 30% khi order qua deli. Cơm thịt kho ruốc sả nhon, cơm chiên dương châu ăn cũng ok
Cơm nhiều, ăn no
Có cho thêm bì canh bí đỏ",7.8
"Mới order cơm thịt kho ruốc sả vs ngũ quả vừa về ăn. Shipepr ship nhanh ghee. Cơm nhiều, có thêm trứng ốp la. Thịt kho ruốc sả ăn vs cơm tỷ ngon luôn í
Rau luộc ăn cũng khá ok",7.6
"Nghe mọi người bảo cháo ếch ở đây ngon lắm nhưng giá khá cao 1 phần 50k rồi, đúng dịp có mã giảm giá của delivery nên ship về ăn thử, mình thích ăn cay nên chọn sốt Singapore cay nhiều và cháo hành . Shipper giao nhanh nhẹn nhiệt tình, cháo được bỏ hộp sạch sẽ . Mình nghĩ ít nhưng cháo đầy vuông 1 hộp, cháo hành là cháo trắng có hành phi phía trên, ăn thơm thơm cháo nhuyễn ngon, ếch rất thấm và săn, nước sốt đúng đậm đà tuy nhiên hơi mặn chút xíu nếu ngọt tí là tuyệt vời rồi",7.2
"Cháo ếch ngon, thấm, vị cay. Sẽ ủng hộ dài dài",8.2
"Đói bụng thêm đau mệt nên nhớ đến món cháo ếch. Mình vs bạn od qua Deli dùng code nên mua phần cơm vs cháo chỉ có 50k, quá lợi. Cháo ếch ở đây thì khỏi bàn, ếch thấm, cháo nhiều. Cơm hơi khô một chút nhưng bù lại nhiều lắm, gà hẳn 1/4 con. Lần sau vẫn sẽ tiếp tục od qua deli vừa có đồ ăn ngon vừa rẻ.",7.4
"Mình cực kì thích ăn cháo, dễ ăn... Mùa đông mình rất thích đến đây ăn cháo... vừa nóng vừa ngon
Mùa đông lạnh đến đây ăn bát cháo ếch là ấm lòng...hihi
Cháo nấu rất nhuyễn, ếch kho thấm thía.. nói chung mình rất thích món cháo ếch ở đây :)
Không gian quán cũng khá nhỏ, ấm cũng giống kiểu gia đình í... Quán nhìn cũng rất sạch sẽ, nhân viên rất thân thiện
Có điều ở đây làm món hơi lâu... vì mình phải gọi rồi quán mới làm...
Giá cả thì cũng hợp lí, ko mắc cũng ko rẻ... nói chung phù hợp với chất lượng
Mình sẽ quay lại đây ủng hộ quán",8.6
"Trời lạnh thiệt lạnh đi ăn cháo ếch là quá ngon luôn. Thích cháo ếch ở đây nhất nhà vì nó rất là thấm thía đậm đà. Trời mưa mưa lạnh lạnh làm bát cháo ếch lá dứa con to full size là số zách lun.
Bữa ngồi chơ lâu kêu thêm dĩa ngô chiên bột. Ngon ko tưởng nha ăn mềm mềm thơm bơ và ngọt lắm.
Cháo ếch ở đây giá cao quá ý. Đâu tầm 50k/ thố. Uống trà sữa mấy ko thấy tiếc mà ăn thố ếch ngon dễ sợ thì lại tiếc ehe.
Mỗi tội tới quán làm hơi chậm á. Vì khách order thì mới nấu.",7.0
Quán mình bữa nay nấu ếch chán ghê. K được như trước nữa. Mình ăn hôm thì bị khét hôm thì quá mặn. Bữa thông cảm cho các e nv rồi nhưng vẫn bị lặp lại. Mình bỏ tiền ra ăn món ăn ngon chứ có phải là để ăn những cái như thế đâu. Nhân viên thì pvu như kiểu chẢ muốn pvu. Nc mình thất vòng về quán quá nhiều,3.6
Món cháo ếch ăn rất ngon. Ở đây còn có kèm đồ ăn vặt cũng ngon không kém nè )) nước uống thì mình thích nước nha đam nhá ^^ uống một ly đầy ngon cực ))) sẽ đến đây nhiều lần nữa.,8.4
"Trưa đói bụng ghé ngang qua đây thấy quán sạch sẽ nên ghé vô.
Thấy bếp mở sạch sẽ nấu ngay tại chỗ là thấy zui rồi.
Đồ ăn ở đây ngon, hợp khẩu vị, nhân viên phục vụ thân thiện. Có dịp lại ghé ủng hộ tiếp.
Nghe nói cháo ếch Singapore ở đây ngon để bữa mô ghé lại thử",7.8
Cơm chiên với đầy đủ xúc xích. ca rốt. bắp. gia vị vừa ăn. kèm 1 quả trứng ốp la và canh rau siêu ngon lại rẻ,8.8
"Mình đi du lịch Đà Nẵng nhưng đêm đó mưa nên mình có order delivery 2 phần cháo ếch nhưng do bạn trai mình không ăn được ếch nên chỉ ăn cháo trắng. Mình ăn phần ếch và cháo thì lập tức sau đó mình cực kì đau bụng và bị tiêu chảy suốt mấy ngày liền, toàn bộ chuyến đi của mình phải cancel hết! Bạn trai mình chỉ ăn cháo trắng nên không bị đau bụng. Vấn đề mất vệ sinh ở đây là của phần ếch. Mặc dù món ăn rất ngon nhưng thật sự vệ sinh của quán phải coi lại để tránh ngộ độc thực phẩm cho khách!",4.2
"Thời tiết bắt đầu trở lạnh rồi, bữa trưa mình hay ở văn phòng nên hay oder đồ ăn về.
Lạnh lạnh thèm ăn cái gì đó nóng nóng, nên nghĩ ra quán này.
Ship qua deliverynow, cầm phần cháo trên tay mà còn nóng hổi luôn ấy.
Phần ếch ngon thơm. Tuyệt!",8.2
Tình cờ ghé ngang nên vào thử. Ếch ở đây đc kho khá là vừa miệng. Ngon. Đều ếch hơi nhỏ .mình ăn phần hai ếch nhỏ mà 70k 1 phần khá là mắc. Nhân viên phục vụ tốt.,7.8
"Mình hay đặt ship cháo ếch ở đây, phải nói là mình rất thích vị cháo ếch ở đây (ngon tuyệt) :v. Nhưng mà không hiểu sao giao đúng yêu cầu có mà sai yêu cầu cũng có :v. Như lần trước mình đặt cháo hương hành thì lại giao cháo hương lá dứa (mình ko chụp lại, nói chung là ăn tạm vì mình cũng dễ ăn :v). Có lần thì mình đặt 3 phần ếch với thêm 2 cháo, có nghĩa là ngoài 1 phần cháo sẵn cộng 2 cháo thêm thì 3 cháo mới đúng (nhưng giao chỉ có 2 cháo :v). Lần này mình cũng vừa đặt cháo hương hành, nhưng lại giao cháo trắng huhu (lần này có chụp ảnh lại ._.). Chỉ mong quán rút kinh nghiệm :""))",9.6
"Hôm trước đọc bài giới thiệu trên foody nên mình sang thử liền. Quán dễ tìm. Mình đi một mình nên gọi phần ếch 1 con thôi. Mình tưởng sẽ đợi lâu nhưng thật ra nhanh lắm. Ếch ngon cực kì luôn. Chỉ có nước thì giá hơi cao, một ly ép cóc tận 20k mà cái ly cũng nhỏ chứ không to nữa :< Hôm sau mình gọi Delivery Now thì thêm một ổ bánh mì. Phải nói là trời mưa mà có ếch chấm bánh mỳ vị cay cay thì bá cháy. Highly recommend với tất cả mọi người 😀",7.4
"Thấy deli giảm 15% nên mình order về ăn. Quán này nổi tiếng vs món cháo ếch Xingapo cơ mà mình k order vì đang thèm bò né. Mình gọi phần bò né đặc biệt 40k và gọi thêm 1 ổ bánh mì nữa. Bình thường mình hay ăn là bò né vs bánh mì là combo rồi mà quán này phần bò né riêng và phải gọi thêm bánh mì. Mình k biết là nhân viên quên bỏ bánh mì hay là bò né thì chỉ có bò thoai chứ k có bánh mì. May mà mình order bánh mì thêm mới có ăn chứ k là k có mà chấm rồi
Bò né bình thường, k ngon lắm, bò dai",7.2
"Trưa lười mang cơm nên gọi anh người yêu qua chở đi ăn ý, mình gọi phân feechs bự ba con ăn đã lắm, mà bên này có gọi êch smaays con cũng chri cho 1 tô cháo thôi, tô còn lại phải tự trả tiên )))",6.8
